,twitter_id,twitter_username,party
0,43910797,SenSherrodBrown,Democrat
1,117501995,SenatorCantwell,Democrat
2,109071031,SenatorCardin,Democrat
3,249787913,SenatorCarper,Democrat
4,171598736,SenBobCasey,Democrat
5,476256944,SenFeinstein,Democrat
6,22044727,SenAmyKlobuchar,Democrat
7,18695134,SenatorMenendez,Democrat
8,29442313,SenSanders,Independent
9,76456274,SenStabenow,Democrat
10,515822213,SenatorTester,Democrat
11,242555999,SenWhitehouse,Democrat
12,202206694,SenJohnBarrasso,Republican
13,264219447,SenatorWicker,Republican
14,19726613,SenatorCollins,Republican
15,13218102,JohnCornyn,Republican
16,247334603,SenatorDurbin,Democrat
17,14845376,GrahamBlog,Republican
18,7270292,JimInhofe,Republican
19,339822881,McConnellPress,Republican
20,29201047,SenJeffMerkley,Democrat
21,486694111,SenJackReed,Democrat
22,1096059529,SenatorRisch,Republican
23,109287731,SenatorShaheen,Democrat
24,7429102,MarkWarner,Democrat
25,899978622416695297,GillibrandNY,Democrat
26,15324851,ChrisCoons,Democrat
27,234374703,Sen_JoeManchin,Democrat
28,76452765,Robert_Aderholt,Republican
29,1074518754,SenatorBaldwin,Democrat
30,239949176,RepKarenBass,Democrat
31,224285242,SenatorBennet,Democrat
32,26051676,RepGusBilirakis,Republican
33,249410485,SanfordBishop,Democrat
34,278145569,MarshaBlackburn,Republican
35,137823987,BlumenauerMedia,Democrat
36,278124059,SenBlumenthal,Democrat
37,21269970,RoyBlunt,Republican
38,5558312,JohnBoozman,Republican
39,19926675,RepKevinBrady,Republican
40,237299871,RepMoBrooks,Republican
41,20467163,VernBuchanan,Republican
42,234812598,RepLarryBucshon,Republican
43,15751083,MichaelCBurgess,Republican
44,21157904,SenatorBurr,Republican
45,432676344,GKButterfield,Democrat
46,22545491,KenCalvert,Republican
47,193794406,SenCapito,Republican
48,199325935,RepAndreCarson,Democrat
49,18030431,JudgeCarter,Republican
50,1017500185356853248,SenBillCassidy,Republican
51,1880674038,USRepKCastor,Democrat
52,237750442,RepSteveChabot,Republican
53,193732179,RepJudyChu,Democrat
54,462143773,RepCicilline,Democrat
55,240812994,RepYvetteClarke,Democrat
56,163570705,RepCleaver,Democrat
57,188019606,WhipClyburn,Democrat
58,162069635,RepCohen,Democrat
59,23124635,TomColeOK04,Republican
60,78445977,GerryConnolly,Democrat
61,22523087,RepJimCooper,Democrat
62,245451804,RepJimCosta,Democrat
63,85396297,RepJoeCourtney,Democrat
64,600463589,MikeCrapo,Republican
65,233693291,RepRickCrawford,Republican
66,210926192,RepCuellar,Democrat
67,789244177,RepDannyDavis,Democrat
68,252249233,RepPeterDeFazio,Democrat
69,28599820,RepDianaDeGette,Democrat
70,140519774,RosaDeLauro,Democrat
71,235312723,DesJarlaisTN04,Republican
72,37094727,MarioDB,Republican
73,153944899,RepLloydDoggett,Democrat
74,39249305,USRepMikeDoyle,Democrat
75,240393970,RepJeffDuncan,Republican
76,249348006,RepAnnaEshoo,Democrat
77,235190657,RepChuck,Republican
78,16256269,VirginiaFoxx,Republican
79,88806753,RepGaramendi,Democrat
80,234822928,RepBobGibbs,Republican
81,22055226,RepLouieGohmert,Republican
82,240760644,RepGosar,Republican
83,161743731,RepKayGranger,Republican
84,10615232,ChuckGrassley,Republican
85,29766367,RepSamGraves,Republican
86,156333623,RepAlGreen,Democrat
87,234057152,RepMGriffith,Republican
88,28602948,RepRaulGrijalva,Democrat
89,1908143071,RepGuthrie,Republican
90,960962340,RepAndyHarrisMD,Republican
91,237763317,RepHartzler,Republican
92,1099199839,MartinHeinrich,Democrat
93,242926427,HerreraBeutler,Republican
94,33576489,RepBrianHiggins,Democrat
95,31611298,JAHimes,Democrat
96,92186819,MazieHirono,Democrat
97,382791093,SenJohnHoeven,Republican
98,22012091,LeaderHoyer,Democrat
99,233949261,RepHuizenga,Republican
100,80612021,JacksonLeeTX18,Democrat
101,211530910,RepBillJohnson,Republican
102,168502762,RepEBJ,Democrat
103,24745957,RepHankJohnson,Democrat
104,233737858,SenRonJohnson,Republican
105,18166778,Jim_Jordan,Republican
106,581141508,RepMarcyKaptur,Democrat
107,232992031,USRepKeating,Democrat
108,935368364,MikeKellyPA,Republican
109,112740986,RepRonKind,Democrat
110,219429281,RepKinzinger,Republican
111,584012853,RepDLamborn,Republican
112,18909919,JimLangevin,Democrat
113,225921757,SenatorLankford,Republican
114,404132211,RepRickLarsen,Democrat
115,50452197,RepJohnLarson,Democrat
116,15394954,BobLatta,Republican
117,242836537,SenatorLeahy,Democrat
118,248735463,RepBarbaraLee,Democrat
119,88784440,SenMikeLee,Republican
120,267938462,RepZoeLofgren,Democrat
121,1444015610,USRepLong,Republican
122,242772524,RepFrankLucas,Republican
123,1849261916,RepBlaine,Republican
124,19318314,SenatorLujan,Democrat
125,310310133,RepStephenLynch,Democrat
126,258900199,RepMaloney,Democrat
127,21406834,SenMarkey,Democrat
128,38254095,DorisMatsui,Democrat
129,19739126,GOPLeader,Republican
130,26424123,RepMcCaul,Republican
131,50152441,RepMcClintock,Republican
132,516880804,BettyMcCollum04,Democrat
133,242426145,RepMcGovern,Democrat
134,27676828,PatrickMcHenry,Republican
135,240427862,RepMcKinley,Republican
136,17976923,CathyMcMorris,Republican
137,385429543,RepMcNerney,Democrat
138,22812754,RepGregoryMeeks,Democrat
139,22669526,RepGwenMoore,Democrat
140,18632666,JerryMoran,Republican
141,18061669,LisaMurkowski,Republican
142,2853793517,SenMurphyOffice,Democrat
143,293131808,PattyMurray,Democrat
144,40302336,RepJerryNadler,Democrat
145,161411080,GraceNapolitano,Democrat
146,442824717,RepRichardNeal,Democrat
147,23600262,EleanorNorton,Democrat
148,299883942,CongPalazzo,Republican
149,31801993,FrankPallone,Democrat
150,74508260,BillPascrell,Democrat
151,1298624375692894210,SenRandPaul,Republican
152,15764644,SpeakerPelosi,Democrat
153,20552026,RepPerlmutter,Democrat
154,236511574,SenGaryPeters,Democrat
155,14984637,ChelliePingree,Democrat
156,18915145,SenRobPortman,Republican
157,25086658,CongBillPosey,Republican
158,155669457,RepDavidEPrice,Democrat
159,56864092,RepMikeQuigley,Democrat
160,550401754,RepHalRogers,Republican
161,33977070,RepMikeRogersAL,Republican
162,479872233,RepRoybalAllard,Democrat
163,229966028,SenRubioPress,Republican
164,305620929,Call_Me_Dutch,Democrat
165,305216911,RepBobbyRush,Democrat
166,13491312,RepTimRyan,Democrat
