,"In your opinion, which sentence is more gramatically correct?","Prior to reading about it above, had you heard of the serial (or Oxford) comma?","How much, if at all, do you care about the use (or lack thereof) of the serial (or Oxford) comma in grammar?",How would you write the following sentence?,"When faced with using the word ""data"", have you ever spent time considering if the word was a singular or plural noun?","How much, if at all, do you care about the debate over the use of the word ""data"" as a singluar or plural noun?","In your opinion, how important or unimportant is proper use of grammar?",Gender,Age,Household Income,Education,Location (Census Region)
0,"It's important for a person to be honest, kind, and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$150,000+",Graduate degree,West North Central
1,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Male,18-29,"$50,000 - $99,999",Graduate degree,East North Central
2,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,18-29,"$0 - $24,999",Bachelor degree,Pacific
3,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,"$150,000+",Bachelor degree,Middle Atlantic
4,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,18-29,"$150,000+",Some college or Associate degree,East North Central
5,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
6,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,18-29,"$150,000+",Bachelor degree,Mountain
7,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat unimportant,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
8,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$150,000+",Graduate degree,Pacific
9,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Somewhat important,Female,45-60,"$150,000+",Graduate degree,Mountain
10,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Female,45-60,"$150,000+",Graduate degree,South Atlantic
11,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,>60,"$150,000+",Graduate degree,Mountain
12,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
13,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,18-29,"$150,000+",Graduate degree,Pacific
14,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Very important,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic
15,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat unimportant,Female,18-29,"$150,000+",Some college or Associate degree,East North Central
16,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
17,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,"$100,000 - $149,999",Graduate degree,Mountain
18,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,>60,"$150,000+",Graduate degree,South Atlantic
19,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not at all,Very important,Female,45-60,"$150,000+",Bachelor degree,South Atlantic
20,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,,Bachelor degree,Pacific
21,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,18-29,"$150,000+",Some college or Associate degree,Pacific
22,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,18-29,"$100,000 - $149,999",Bachelor degree,Mountain
23,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
24,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,45-60,"$150,000+",Graduate degree,South Atlantic
25,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,>60,"$150,000+",Graduate degree,South Atlantic
26,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,45-60,"$150,000+",Some college or Associate degree,Mountain
27,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,45-60,,Graduate degree,East South Central
28,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Pacific
29,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,18-29,"$150,000+",Some college or Associate degree,East North Central
30,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,18-29,"$0 - $24,999",Bachelor degree,Pacific
